Designator,Mid X,Mid Y,Rotation,Layer
C1,120.725,-61.15,270.0,top
C2,119.888688,-65.9,0.0,top
C3,125.15,-69.525,270.0,top
C4,115.525,-66.175,270.0,top
C5,130.075,-69.325,0.0,top
C6,107.525,-76.225,270.0,top
C7,166.6,-73.2,180.0,top
C8,133.675,-72.925,180.0,top
D1,129.275,-60.725,180.0,top
F1,109.475,-68.8,90.0,top
FID1,151.0,-54.0,0.0,top
FID2,112.0,-142.0,0.0,top
FID3,183.0,-142.0,0.0,top
J1,104.625,-68.85,90.0,bottom
LED1,123.275,-53.475,270.0,top
LED10,177.29353,-98.669989,180.0,top
LED11,186.137767,-58.675,90.0,top
LED12,161.966297,-96.277762,90.0,top
LED13,195.962767,-96.3,90.0,top
LED14,131.142662,-127.013789,90.0,top
LED15,130.496753,-96.361456,90.0,top
LED16,196.469431,-126.836814,90.0,top
LED17,162.825,-126.95,90.0,top
LED18,145.4125,-124.58525,180.0,top
LED19,145.4125,-129.347749,180.0,top
LED2,127.05,-53.475,270.0,top
LED20,177.36853,-124.582488,180.0,top
LED21,177.36853,-129.344987,180.0,top
LED22,167.440951,-58.698113,180.0,top
LED23,113.37353,-93.971759,180.0,top
LED24,113.37353,-98.734258,180.0,top
LED25,113.3125,-124.62551,180.0,top
LED26,113.3125,-129.388009,180.0,top
LED7,145.16853,-93.90749,180.0,top
LED8,145.16853,-98.669989,180.0,top
LED9,177.29353,-93.90749,180.0,top
Q1,130.0,-56.2,270.0,top
R1,103.975,-61.774999,90.0,top
R10,175.775,-102.375001,90.0,top
R11,186.137767,-53.638544,270.0,top
R12,161.966297,-91.241306,270.0,top
R13,195.962767,-91.2,270.0,top
R14,131.142662,-121.977333,270.0,top
R15,130.496753,-91.325,270.0,top
R16,196.469431,-121.800358,270.0,top
R17,162.825,-121.913786,270.0,top
R18,143.89397,-120.877761,270.0,top
R19,143.89397,-133.052761,90.0,top
R2,106.575,-61.774999,90.0,top
R20,175.85,-120.874999,270.0,top
R21,175.85,-133.049999,90.0,top
R22,165.922421,-54.990624,270.0,top
R23,111.855,-90.26427,270.0,top
R24,111.855,-102.43927,90.0,top
R25,111.79397,-120.918021,270.0,top
R26,111.79397,-133.093021,90.0,top
R3,125.15,-59.08195,270.0,top
R4,125.15,-64.325,270.0,top
R5,109.225,-61.775,270.0,top
R6,119.838687,-68.5,180.0,top
R7,143.65,-90.200001,270.0,top
R8,143.65,-102.375001,90.0,top
R9,175.775,-90.200001,270.0,top
SW1,142.0,-57.0,0.0,top
SW_AND_A1,138.0,-89.0,270.0,top
SW_AND_B1,138.0,-103.0,270.0,top
SW_NAND_A1,170.0,-89.0,270.0,top
SW_NAND_B1,170.0,-103.0,270.0,top
SW_NOR_A1,106.0,-120.0,270.0,top
SW_NOR_B1,106.0,-134.0,270.0,top
SW_NOT1,160.053451,-58.548113,270.0,top
SW_OR_A1,106.0,-89.0,270.0,top
SW_OR_B1,106.0,-103.0,270.0,top
SW_XNOR_A1,170.0,-120.0,270.0,top
SW_XNOR_B1,170.0,-134.0,270.0,top
SW_XOR_A1,138.0,-120.0,270.0,top
SW_XOR_B1,138.0,-134.0,270.0,top
U1,117.425,-60.8,180.0,top
U2,112.35,-63.325,90.0,top
U3,129.625,-64.9125,0.0,top
U4,120.0,-77.0,0.0,top
U5,180.0,-77.0,0.0,top
U6,150.0,-77.0,0.0,top
USBC1,115.275,-53.9775,180.0,top
